!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
demographically|d e m o ɡ ɾ a p h ɪ x l i
demory's|d e m o ɾ ɪ s
deneuve(2)|d e n e u b e
density(2)|d e n s ɪ t͡ʃ
denunzio|d e n ʊ n s ɪ o
depleters|d e p l e t e ɾ s
derossett|d e ɾ o s e t t
derthick|d e ɾ t h ɪ k
desanctis|d e s a ŋ k t ɪ s
descendants(2)|d e s s e n d ɐ n t͡ʃ
desegregated|d e s e ɡ ɾ e ɰ a t e d
desiring|d e s i ɾ ɪ ŋ
despairs|d e s p a ɪ̯ ɾ s
detail(2)|d e t a ɪ̯ l
deteriorates|d e t e ɾ j o ɾ a t e s
detloff|d e t l o f
detty|d e t͡ʃ i
devastated(2)|d e b ɐ s t ɐ t e d
dewell|d e w e l l
dezern|d e s e ɾ n
dhia|d͡ʒ i ɐ
diabase|d ɪ ɐ b a s e
dial's|d ɪ ɐ l s
dials(2)|d ɪ ɐ l s b i
diasonics|d ɪ ɐ s o n ɪ k s
dibari|d ɪ b a ɾ ɪ ʔ
didn't(2)|d ɪ d n t
difelice(3)|d ɪ f e l i s e
digests(2)|d ɪ d͡ʒ e s t͡s s
digit(2)|d ɪ ɰ i t s e
diguglielmo|d ɪ ɰ ʊ ɡ l j e l m o
dilello|d ɪ l e l l o
dillworth|d ɪ l l w o ɾ θ
dimenaci|d ɪ m e n a s ɪ
dimiceli|d ɪ m ɪ s e l ɪ
dimmitt|d ɪ m m i t
dingman|d ɪ ŋ m a n
dint|d ɪ n t
dipinto|d ɪ p i n t o
directives(3)|d ɪ ɾ e k t i b e s
directories(4)|d ɪ ɾ e k t o ɾ j e s
dirlam|d ɪ ɾ l a m
disabling(2)|d ɪ s ɐ b l i ŋ k
disanti|d ɪ s a n t ɪ
disappointingly(2)|d ɪ s ɐ p o ʔ ɪ n t ɪ ŋ l i
disbelieving|d ɪ s b e l i e b ɪ ŋ
disdainful|d ɪ s d ɐ ʔ i n f ʊ l
disgraced|d ɪ s ɡ ɾ a s e d
disharoon|d ɪ s h ɐ ɾ o ʔ o n
disintegration(2)|d ɪ s ɪ n t e ɡ ɾ a ʃ o n
dismaying|d ɪ s m a j ɪ ŋ
disparities|d ɪ s p ɐ ɾ i t͡ʃ e s
dispensers|d ɪ s p e n s e ɾ s
displaying|d ɪ s p l a j ɪ ŋ
dissented(2)|d ɪ s e n t e d
dissolver|d ɪ s o l b e ɾ
distinctions|d ɪ s t ɪ ŋ k ʃ o n s
districting|d ɪ s t ɾ i k t ɪ ŋ
disuse|d ɪ s u s e
ditches|d ɪ t͡ʃ e s
divall|d ɪ b a l l
diversifications|d ɪ b e ɾ s ɪ f ɪ x a ʃ o n s
divestments(2)|d ɪ b e s t m e n t s
divulging|d ɪ b u l ɡ ɪ ŋ
dobrinski|d o b ɾ i n s k ɪ
dockendorf|d o k e n d o ɾ f
doctrinaire|d o k t ɾ ɪ n a ɪ̯ ɾ e
doddering|d o d e ɾ ɪ ŋ
doernberg|d o e ɾ n b e ɾ ɡ
doggy's|d o ɡ ɡ ɪ s
doherty(3)|d o h e ɾ t ɪ
dokken|d o k e n
dollens|d o l j e n s
domical|d o m ɪ x a l
domineer|d o m ɪ n e e ɾ
dominik|d o m i n ɪ k
donatists(2)|d o n a t ɪ s t s
donlan|d o n l ɐ n
doornbos|d o ʔ o ɾ n b o s
doralin|d o ɾ a l ɪ n
dornbush|d o ɾ n b ʊ ʃ
dosages|d o s a ɰ e s
dossey|d o s e ɪ̯
doubletree|d o ʊ̯ b ə l t ɾ e ʔ
doughnuts|d o ʊ̯ ɡ h n ʊ t͡ʃ
dover's|d o b e ɾ s
dowis|d o w ɪ s
downingtown|d o w n ɪ ŋ t o ʊ̯ n
downswing|d a ʊ̯ n s w ɪ ŋ
dqalpha|d k a l p h ɐ
draus|d ɾ a ʊ̯ s
drawls|d ɾ a ʊ̯ l s
dressy|d ɾ e s ɪ
drilling's|d ɾ i l l ɪ ŋ s
driver's|d ɾ a ɪ̯ b e ɾ s
drollinger|d ɾ o l l ɪ ŋ e ɾ
dropoff|d ɾ o p o f
drusie|d ɾ u s ɪ e
drzewiecki|d ɾ s e w i e t͡s k ɪ
ducksworth|d ʊ k s w o ɾ θ
dudayev's|d ʊ d a j e f s
duets(2)|d ʊ e t͡ʃ
dugal|d u ɰ ɐ l
dumire|d ʊ m i ɾ e
dunivan|d ʊ n i b ɐ n
dunman|d ʊ m m a n
dunsmore|d ʊ n s m o ɾ e
dupler|d ʊ p l e ɾ
durflinger(2)|d ʊ ɾ f l i ŋ e ɾ
dusza|d u s ɐ
dwana|d w ɐ n a ʔ
dyches|d ɪ t͡ʃ e s
dykes|d ɪ x e s
dynalectron|d ɪ n ɐ l e k t ɾ o n
eagleburger|ʔ æ ɡ l e b ʊ ɾ ɡ e ɾ
earlene|ʔ æ ɾ l e n e
earney|ʔ æ ɾ n e ɪ̯
eastes|ʔ e ɐ s t e s
eccleston|ʔ e k l e s t o n
ecolaire|ʔ e x o l a ɪ̯ ɾ e
economist's(3)|ʔ e x o n o m ɪ s t s
ecosystems|ʔ e x o s ɪ s t e m s
eddies|ʔ e d͡ʒ i e s
edgeways|ʔ e d͡ʒ w a ɪ̯ s
editorialists(3)|ʔ e d ɪ t o ɾ j ɐ l i s t͡ʃ
edye|ʔ e d͡ʒ e
efflux|ʔ e f f l ʊ k s
efta|ʔ e f t ɐ
ege|ʔ e ɰ e
ehren|ʔ e h ɾ e n
eide|ʔ e ɪ̯ d e
eiichi|ʔ e ɪ̯ ʔ ɪ t͡ʃ i
eisel|ʔ e ɪ̯ s e l
eisert|ʔ e ɪ̯ s e ɾ t
ejaculate|ʔ e d͡ʒ ɐ x ʊ l a t e
ekco|ʔ e k o
eking|ʔ e x ɪ ŋ
elaborating|ʔ e l ɐ b o ɾ a t ɪ ŋ
eldwin|ʔ e l d w i n
electrify|ʔ e l e k t ɾ ɪ f ɪ
elford|ʔ e l f o ɾ d
elizabethtown|ʔ e l ɪ s ɐ b e t h t o ʊ̯ n
ellenberger|ʔ e l l e n b e ɾ ɡ e ɾ
ellinger|ʔ e l l ɪ ŋ e ɾ
ells|ʔ e l l s
elsevier(2)|ʔ e l s e b j e ɾ
embassy's|ʔ e m b ɐ s i s
embezzler|ʔ e m b e s e l e ɾ
emigh|ʔ e m ɪ ɡ
emissaries|ʔ e m ɪ s a ɾ ɪ e s
emmert|ʔ e m m e ɾ t
emond|ʔ e m o n d
emptor|ʔ e m p t o ɾ
enasa|ʔ e n a s ɐ
encata's|ʔ e ŋ k a t ɐ s
encourages(2)|ʔ e ŋ k o ʊ̯ ɾ a ʒ e s
endanger|ʔ e n d a ŋ e ɾ
endrizzi|ʔ e n d ɾ i s s ɪ
engelke|ʔ e ŋ e l k e
engleman|ʔ e ŋ ɡ l e m ɐ n
engrave|ʔ e ŋ ɡ ɾ a b e
enmity(2)|ʔ e m m ɪ t͡ʃ
enrichment(2)|ʔ e n ɾ ɪ t͡ʃ m e n t
ensconce|ʔ e n s k o n s e
ensrud|ʔ e n s ɾ ʊ d
entangling(2)|ʔ e n t ɐ ŋ l i ŋ k
enterprise's(4)|ʔ e n t e ɾ p ɾ i s e s
entertainment's|ʔ e n t e ɾ t ɐ ʔ i n m e n t s
entities'|ʔ e n t i t͡ʃ e s
entrenched(2)|ʔ e n t ɾ e n t͡ʃ e d͡ʒ
enumerated|ʔ e n ʊ m e ɾ a t e d
epidemic(2)|ʔ e p ɪ d e m ɪ k
epilepsies|ʔ e p ɪ l e p s ɪ e s
equips|ʔ e x ɪ p s
equivocation|ʔ e x ɪ b o x a ʃ o n
erases(2)|ʔ e ɾ ɐ s e s
erceg|ʔ e ɾ s e ɡ
erhart|ʔ e ɾ h a ɾ t
erker|ʔ e ɾ k e ɾ
eroded(2)|ʔ e ɾ o d e d
errant|ʔ e ɾ ɐ n t
erskin|ʔ e ɾ s k i n
erupting|ʔ e ɾ ʊ p t i ŋ
esculent|ʔ e s k u l e n t
estuaries|ʔ e s t w ɐ ɾ j e s
euphemistic|j ʊ p h e m i s t ɪ k
euromarkets|ʔ e ʊ̯ ɾ o m a ɾ k e t s
eustachian|ʔ e ʊ̯ s t a t͡ʃ ɪ ʔ ɐ n
evangelists(6)|ʔ e b ɐ ŋ h e l i s t s
evaporating(2)|ʔ e b ɐ p o ɾ ɐ t i ŋ k
evens|ʔ e b e n s
eventually(4)|ʔ e b e n t ʊ ɐ l l ɪ
evidenced|ʔ e b ɪ d e n s e d
evocation|ʔ e b o x a ʃ o n
ewoldt|ʔ e w o l t
exaggerates|ʔ e k s ɐ ɡ d͡ʒ e ɾ a t e s
excavate|ʔ e k s k ɐ b a t e
excelling|ʔ e k s e l l ɪ ŋ
exchanges(2)|ʔ e k s t͡ʃ a ŋ e s
exclusions|ʔ e k s k l ʊ ʃ o n s
excusable|ʔ e k s k u s ɐ b l e
exhorted|ʔ e k s h o ɾ t e d
existential(4)|ʔ e ɡ z ɪ s t e n t͡ʃ ɐ l
expansionist(2)|ʔ e k s p ɐ n ʃ o n i s t
exploited(2)|ʔ e k s p l o ɪ̯ t e d
expressionistic|ʔ e k s p ɾ e ʃ o n i s t ɪ k
extinguishment|ʔ e k s t ɪ ŋ ɡ i ʃ m e n t
eyecare|ʔ e j e x a ɾ e
eyespot|ʔ e j e s p o t
eyton|ʔ e ɪ̯ t o n
fabrizius|f ɐ b ɾ ɪ s i ʊ s
fackrell|f ɐ k ɾ e l l
fading|f a d ɪ ŋ
fagnant|f ɐ ɡ n a n t
fahs|f ɐ h s
fairhaven|f ɐ ʔ ɪ ɾ h a b e n
fait|f a ʔ ɪ t
fakers|f ɐ x e ɾ s
falconbridge|f ɐ l k o n b ɾ i d͡ʒ e
fallaw|f ɐ l l a ʊ̯
fanciful|f ɐ n s i f ʊ l
fanned|f ɐ n e d
fantroy|f ɐ n t ɾ o ɪ̯
farfetched|f ɐ ɾ f e t͡ʃ e d
farmlands|f ɐ ɾ m l a n d s
farrow's|f ɐ ɾ o ʊ s
fasbender|f ɐ s b e n d e ɾ
fasted|f ɐ s t e d
fathi|f ɐ t h i ʔ
fatuous|f ɐ t w o ʊ s
faulkner's|f a ʊ̯ l k n e ɾ s
feasts(2)|f e ɐ s t s
feazel|f e ɐ s e l
february's(5)|f e b ɾ ʊ ɐ ɾ i s
federalist(2)|f e d e ɾ ɐ l i s t
federici|f e d e ɾ i s ɪ
feemster|f e ʔ e m s t e ɾ
feigen|f e ɪ̯ ɰ e n
feint|f e ʔ ɪ n t
felker|f e l k e ɾ
fellner|f e l l n e ɾ
fendler|f e n d l e ɾ
fermenting|f e ɾ m e n t ɪ ŋ
fernbank|f e ɾ n b ɐ ŋ k
ferranti|f e ɾ a n t ɪ
ferreting|f e ɾ e t ɪ ŋ
ferron|f e ɾ o n
fertile(2)|f e ɾ t i l e
fettered|f e t e ɾ e d
feuerstein|f e ʊ̯ e ɾ s t e ʔ ɪ n
fiduciares(2)|f ɪ d ʊ ʃ a ɾ e s
fiends|f ɪ e n d s
figge|f ɪ ɡ ɡ e
filinski|f ɪ l i n s k ɪ
fillinger|f ɪ l l ɪ ŋ e ɾ
financo|f ɪ n a ŋ k o
finders|f ɪ n d e ɾ s
fininvest|f ɪ n ɪ m b e s t
finkler|f ɪ ŋ k l e ɾ
finnicum|f ɪ n n i x ʊ m
firearm(2)|f ɪ ɾ e ɐ ɾ m
firings|f ɪ ɾ i ŋ s
firstar|f ɪ ɾ s t a ɾ
fischer's|f ɪ s k e ɾ s
fishell|f ɪ s h e l l
fithe|f ɪ t h e ʔ
fitzgibbon|f ɪ t͡s ɡ ɪ b b o n
fixler|f ɪ k s l e ɾ
flailing|f l a ɪ̯ l ɪ ŋ
flammer|f l ɐ m m e ɾ
flap|f l ɐ p
flashier|f l ɐ ʃ i e ɾ
flatly|f l ɐ t l ɪ
fleer|f l e e ɾ
fleisher|f l e ɪ̯ ʃ e ɾ
flewellen|f l e w e l l e n
flied|f l ɪ e d
floria|f l o ɾ j ɐ
fluet|f l ʊ e t
flummox|f l ʊ m m o k s
fluorocarbons|f l ʊ ɾ o x a ɾ b o n s
fobel's|f o b e l s
follmer|f o l m e ɾ
fomento|f o m e n t o
fonville|f o m b i l j e
fooling|f ʊ l i ŋ
footballs|f ʊ t b ɐ l s
footpath|f ʊ t p a t
forand|f o ɾ ɐ n d
forcefulness|f o ɾ s e f ʊ l n e s
forecloses|f o ɾ e k l o s e s
foreigners'(4)|f o ɾ e ɡ n e ɾ s
foresees|f o ɾ e s e ʔ e s
forgets(2)|f o ɾ ɡ e t͡s
forhan|f o ɾ h a n
forma|f o ɾ m ɐ
forrer|f o ɾ ɾ e ɾ
forstner|f o ɾ s t n e ɾ
forthrightly|f o ɾ t h ɾ a ɪ̯ t l i
fossel|f o s e l
foulkes|f o ʊ̯ l k e s
fowble|f o ʊ̯ b l e
fraiser|f ɾ a ɪ̯ s e ɾ
franchini|f ɾ ɐ n t͡ʃ i n ɪ
frankenstein's(2)|f ɾ ɐ ŋ k e n s t e ɪ̯ n s
fratzke|f ɾ ɐ t͡s k e
frazzini|f ɾ ɐ s i n ɪ
fredella|f ɾ e d e l l ɐ
fredkin|f ɾ e d k i n
freeburg|f ɾ e ʔ e b ʊ ɾ ɡ
freid|f ɾ e ɪ̯ d
freind|f ɾ e ʔ ɪ n d
fretz|f ɾ e t͡s
fridman|f ɾ ɪ d m a n
friedlander|f ɾ ɪ e d l a n d e ɾ
frisky|f ɾ i s k ɪ
fritzsche|f ɾ ɪ t͡ʃ e
frogge|f ɾ o ɡ ɡ e
frontier's|f ɾ o n t͡ʃ e ɾ s
frosts|f ɾ o s t s
frumkin|f ɾ u m k ɪ n
frymire|f ɾ ɪ m i ɾ e
fudala|f ʊ d a l ɐ ʔ
fundamentalists(3)|f ʊ n d ɐ m e n t ɐ l i s t͡ʃ
funtime|f ʊ n t i m e
furrow|f ʊ ɾ o ʊ̯
gabbroic|ɡ ɐ bː ɾ o ʔ ɪ k
gadberry|ɡ ɐ d b e ɾ ɾ ɪ
gadsden|ɡ ɐ d s d e n
gaeth|ɡ ɐ ʔ e θ
gagne|ɡ ɐ ɡ n e
gaining|ɡ ɐ ʔ ɪ n i ŋ
galanis|ɡ ɐ l a n ɪ s
galford|ɡ ɐ l f o ɾ d
galluzzo|ɡ ɐ l l ʊ s o
galudet|ɡ ɐ l ʊ d e t
galyean|ɡ ɐ l j e ʔ ɐ n
gamet|ɡ ɐ m e t
gamper|ɡ ɐ m p e ɾ
gangbanger|ɡ ɐ ŋ b ɐ ŋ e ɾ
ganoe|ɡ ɐ n o e
gantenbein|ɡ ɐ n t e m b e ʔ ɪ n
garajda's(2)|ɡ ɐ ɾ a h d ɐ s
gardini|ɡ ɐ ɾ d i n ɪ
garners|ɡ ɐ ɾ n e ɾ s
garris|ɡ ɐ ɾ i s
garske|ɡ ɐ ɾ s k e
gatling's|ɡ ɐ t l i ŋ s
gaulke|ɡ a ʊ̯ l k e
gayles|ɡ a ɪ̯ l e s
gearing|ɡ e ɐ ɾ i ŋ
geers|ɡ e ʔ e ɾ s
gejdenson|ɡ e d͡ʒ d e n s o n
geldermann|ɡ e l d e ɾ m ɐ n n
gemcraft's|ɡ ɛ m k ɾ a f t s
gemsbok|ɡ e m s b o k
generationally|d͡ʒ e n e ɾ ɐ ʃ o n a l l ɪ
gengenbach|ɡ e ŋ e n b ɐ x
gentles|ɡ e n t l e s
georgia's|d͡ʒ o ɾ ɡ i ɐ s
geostrophic|ɡ e o s t ɾ o p h ɪ k
germans'|ɡ e ɾ m ɐ n s
gerry's|ɡ e ɾ ɪ s
gerski|ɡ e ɾ s k ɪ
get-together(2)|ɡ e t t o ɰ e t e ɾ
getts|ɡ e t͡ʃ t͡ʃ
ghio|ɡ ɪ o
ghosts(3)|ɡ o s t s
giaconda|ɡ ɪ ɐ x o n d ɐ
giang(2)|ɡ ɪ ɐ ŋ
gibeault|ɡ ɪ b e ʔ u l t
gieske|ɡ i e s k e
giggled|ɡ ɪ ɡ ɡ l e d
gilb|ɡ ɪ l b
gilby|ɡ ɪ l b i
gillaspie|ɡ ɪ l l a s p ɪ e
gingles|ɡ ɪ ŋ ɡ l e s
ginning|ɡ ɪ n n i ŋ
ginther|ɡ ɪ n t h e ɾ
girsky|ɡ ɪ ɾ s k i
gittens|ɡ ɪ t e n s
giza(2)|ɡ ɪ s a ʔ o
gladstein(2)|ɡ l ɐ d s t e ʔ ɪ n
glanzer|ɡ l ɐ n s e ɾ
glassberg|ɡ l ɐ s b e ɾ ɡ
glide|ɡ l i d e
glosson|ɡ l o s o n
gloyd|ɡ l o ɪ̯ d
glunz|ɡ l ʊ n s
glutted|ɡ l ʊ t e d
godbout|ɡ o d b o ʊ̯ t
goette|ɡ o e t e
gogan|ɡ o ɰ ɐ n
goldenthal's|ɡ o l d e n t h ɐ l s
goldome|ɡ o l d o m e
goldwasser|ɡ o l d w ɐ s e ɾ
gonium|ɡ o n i ʊ̃ m
gonzalez's|ɡ o n s a l e s
gooders|ɡ ʊ d e ɾ s
goodlow|ɡ ʊ d l o ʊ̯
goolsby|ɡ ʊ l s b i
gordan|ɡ o ɾ d ɐ n
gore's|ɡ o ɾ e s
gorguze|ɡ o ɾ ɡ u s e
gornto|ɡ o ɾ n t o
gosornstem|ɡ o s o ɾ n s t e m
gotschall|ɡ o t͡ʃ a l l
goulette|ɡ o ʊ̯ l e t
graham(2)|ɡ ɾ ɐ h a m
grandfather's(2)|ɡ ɾ ɐ n d f ɐ ð e ɾ s
grandon|ɡ ɾ ɐ n d o n
grandson(2)|ɡ ɾ ɐ n d s o n
granillo|ɡ ɾ ɐ n i l j o
granting(2)|ɡ ɾ ɐ n t i ŋ k w
graser|ɡ ɾ a s e ɾ
grassy|ɡ ɾ a s ɪ
grattan|ɡ ɾ a t ɐ n
gravatt|ɡ ɾ a b ɐ t
gravimetric|ɡ ɾ ɐ b ɪ m e t ɾ ɪ k
greason|ɡ ɾ e ɐ s o n
greenbaum|ɡ ɾ e e n b a ʔ ʊ m
greenwald's|ɡ ɾ e ɪ̯ n w ɐ l d s
gregoire|ɡ ɾ e ɰ o ɪ̯ ɾ e
grella|ɡ ɾ e l l ɐ
grewe|ɡ ɾ e w e
grid's|ɡ ɾ ɪ d s
griesbach|ɡ ɾ i e s b ɐ x
griffin's|ɡ ɾ ɪ f f i n s
grindrod|ɡ ɾ ɪ n d ɾ o d
grits|ɡ ɾ ɪ t͡s
groans|ɡ ɾ o ʔ ɐ n s
groninger|ɡ ɾ o n ɪ ŋ e ɾ
grossfeld|ɡ ɾ o s f e l d
grubstein(2)|ɡ ɾ ʊ b s t e ʔ ɪ n
grutman|ɡ ɾ ʊ t m a n
guardrails|ɡ w ɐ ɾ d ɾ a ɪ̯ l s
gubbels|ɡ ʊ b b e l s
guerry|ɡ e ɾ ɪ
guests'|ɡ e s t s
guggisberg|ɡ ʊ ɡ ɡ ɪ s b e ɾ ɡ
guillermo(2)|ɡ ɪ l j e ɾ m o
gulino|ɡ ʊ l i n o
gumshoe|ɡ ʊ m ʃ o e
gumz|ɡ ʊ m s
guppies|ɡ ʊ p p i ʔ e s
gurtler(2)|ɡ ʊ ɾ t l e ɾ
guss|ɡ ʊ s
gustaveson|ɡ ʊ s t ɐ b e s o n
guttering|ɡ ʊ t e ɾ ɪ ŋ
gymnasiums|ɡ ɪ m n a s ɪ ʊ̃ m s
haapala|h ɐ ʔ ɐ p a l ɐ ʔ
habeck|h ɐ b e k
habibie|h ɐ b i b ɪ e
hachey|h a t͡ʃ e ɪ̯
hackles|h ɐ k l e s
haddan|h ɐ dː a n
hadler(2)|h ɐ d l e ɾ
haft's|h ɐ f t s
hage|h ɐ ɰ e
hahm|h ɐ h a m
haifong|h ɐ ʔ i f o ŋ
hairiness|h a ɪ̯ ɾ ɪ n e s
hakanson|h ɐ x ɐ n s o n
halperin(2)|h ɐ l p e ɾ ɪ n
hamdoon|h ɐ m d o ʔ o n
hammers|h ɐ m m e ɾ s
hampshire(4)|h ɐ m p ʃ ɪ ɾ e
handed(2)|h ɐ n d e d
handly|h ɐ n d l ɪ
hangup|h ɐ ŋ u p
hanken|h ɐ ŋ k e n
hannaman|h ɐ n n a m ɐ n
hanny|h ɐ n i
hao-chi|h a o t͡ʃ ɪ
hapner|h ɐ p n e ɾ
harass|h ɐ ɾ a s
harbingers|h ɐ ɾ b ɪ ŋ e ɾ s
hardebeck|h ɐ ɾ d e b e k
hardway|h a ɾ d w a ɪ̯
harger|h ɐ ɾ ɡ e ɾ
harlison|h ɐ ɾ l ɪ s o n
harnisch|h ɐ ɾ n i ʃ
harston|h ɐ ɾ s t o n
hartlage|h ɐ ɾ t l a ɰ e
hartsville|h ɐ ɾ t͡ʃ b i l j e
hasidic(2)|h ɐ s i d ɪ k
hasselbach|h ɐ s e l b ɐ x
hastie|h ɐ s t i
haughty|h a ʊ̯ k h t ɪ
hausch|h a ʊ̯ ʃ
haut|h ɐ ʔ u t
havington|h ɐ b i ŋ t o n
haxton|h ɐ k s t o n
hayton|h a ɪ̯ t o n
headstones|h ɛ d s t o n e s
hearl|h æ ɐ ɾ l
heartening(2)|h æ ɐ ɾ t e n ɪ ŋ
heath's|h e ɐ t h s
hebding|h e b d ɪ ŋ
heeding|h e e d ɪ ŋ
heffington|h e f ɪ ŋ t o n
hegge|h e ɡ ɡ e
hehl|h e h l
heileman's|h e ɪ̯ l e m ɐ n s
heinen|h e ɪ̯ n e n
heintze|h e ɪ̯ n t͡ʃ e
heisner|h e ɪ̯ s n e ɾ
helmke|h e l m k e
hemmerling|h e m e ɾ l ɪ ŋ
hen's|h e n s
hendee|h e n d e
henke|h e ŋ k e
henricksen|h e n ɾ ɪ k s e n
henske|h e n s k e
henzler|h e n z l e ɾ
herbalists(2)|h e ɾ b ɐ l i s t͡ʃ
heritage's|h e ɾ ɪ t a d ʒ e s
hernon|h e ɾ n o n
heron's|h e ɾ o n s
herst|h e ɾ s t
hertzenleben's|h e ɾ t͡s e n l e b e n s
hessian|h e s ɪ ɐ n
hillas|h ɪ l l a s
hilliker|h ɪ l l ɪ x e ɾ
hilsabeck|h ɪ l s ɐ b e k
hinderliter|h ɪ n d e ɾ l i t e ɾ
hinerman|h ɪ n e ɾ m ɐ n
hinn|h ɪ n n
hladik(2)|h l ɐ d i k
hmong(3)|h m o ŋ k
hoagland|h o ɐ ɡ l a n d
hochmuth|h o t͡ʃ m ʊ t
hodapp|h o d ɐ p
hoeper|h o e p e ɾ
hofferber|h o f f e ɾ b e ɾ
hogeland(2)|h o ɰ e l ɐ n d
hohenberger|h o h e n b e ɾ ɡ e ɾ
holdings'|h o l d ɪ ŋ s
holguin|h o l ɡ ɪ n
hollanders|h o l j a n d e ɾ s
hollies|h o l j e s
holloman|h o l l o m ɐ n
holmberg|h o l m b e ɾ ɡ
holshouser|h o l s h a ʊ̯ s e ɾ
homeclub|h o m e k l ʊ b
homeostatic|h o m e o s t a t ɪ k
homestead's|h o m e s t e d s
hooking|h ʊ x i ŋ
hooted|h ʊ t e d
hopper's|h o p e ɾ s
hornell|h o ɾ n e l l
horsing|h o ɾ s ɪ ŋ
hosner|h o s n e ɾ
hostetter|h o s t e t e ɾ
hotard|h o t a ɾ d
hounds|h o ʊ̯ n d s
houska|h o ʊ s k ɐ
howdy|h a ʊ̯ d ɪ
hruska(2)|h ɾ ʊ s k ɐ ʔ e
huachuca|h w ɐ t͡ʃ u x ɐ
hudak|h ʊ d a k
hueber|h ʊ e b e ɾ
huett|h ʊ e t
huffs|h ʊ f s
hugely|h ʊ ɰ e l ɪ
hughette(2)|h ʊ ɡ h e t e
hugo's|h ʊ ɰ o s
hulette(2)|h ʊ l e t e
hull's|h ʊ l l s
humid(2)|h ʊ m ɪ d ʔ e
humiliate|h ʊ m ɪ l j a t e
humiston|h ʊ m ɪ s t o n
hungrily|h ʊ ŋ ɾ i l ɪ
hunziker|h ʊ n z i x e ɾ
hurdman|h ʊ ɾ d m a n
hurm|h ʊ ɾ m
hurried|h ʊ ɾ ɾ j e d
hutt|h ʊ t
hutzel|h ʊ t͡s e l
hyades|h j a d e s
hybrienko|h ɪ b ɾ i e ŋ k o
iannucci|ʔ ɪ ɐ n u k s ɪ
icenhour|ʔ ɪ s e ŋ h o ʊ̯ ɾ
identifier(2)|ʔ ɪ d e n t ɪ f i e ɾ
igo|ʔ ɪ ɰ o ʔ
ilardi|ʔ ɪ l a ɾ d ɪ
imagineer|ʔ ɪ m ɐ ɰ ɪ n e e ɾ
immobility|ʔ ɪ m m o b ɪ l i t͡ʃ
impacted(2)|ʔ ɪ m p a k t e d
impregnation|ʔ ɪ m p ɾ e ɡ n a ʃ o n
in.|ʔ ɪ n
inadvertently|ʔ ɪ n ɐ d b e ɾ t e n t l ɪ
inamura|ʔ ɪ n ɐ m u ɾ ɐ
inaugurating|ʔ ɪ n a ʊ̯ ɰ ʊ ɾ a t ɪ ŋ
incited|ʔ ɪ n s ɪ t e d
incoherence|ʔ ɪ ŋ k o h e ɾ e n s e
incur|ʔ ɪ ŋ k u ɾ
indent|ʔ ɪ n d e n t
indignantly|ʔ ɪ n d ɪ ɡ n a n t l ɪ
indoctrinated|ʔ ɪ n d o k t ɾ ɪ n a t e d
indulges|ʔ ɪ n d u l ɡ e s
industrials|ʔ ɪ n d ʊ s t ɾ j a l s
infests(3)|ʔ ɪ m f e s t s
information's|ʔ ɪ n f o ɾ m a ʃ o n s
ingenue(2)|ʔ ɪ ŋ e n u e
ingimarson|ʔ ɪ ŋ ɪ m ɐ ɾ s o n
ingman|ʔ ɪ ŋ m a n
inhalation(2)|ʔ ɪ ŋ h ɐ l ɐ ʃ o n
initio(2)|ʔ ɪ n ɪ ʃ o ʔ o
injunctive(2)|ʔ ɪ n d͡ʒ ʊ ŋ k t i b e
inlaid|ʔ ɪ n l a ʔ ɪ d
innominate|ʔ ɪ n n o m ɪ n a t e
insert(2)|ʔ ɪ n s e ɾ t
instigate|ʔ ɪ n s t ɪ ɰ a t e
integrated(3)|ʔ ɪ n t e ɡ ɾ a t e d
intended(2)|ʔ ɪ n t e n d e d
interbrew's(2)|ʔ ɪ n t e ɾ b ɾ e w s
intercepts(2)|ʔ ɪ n t e ɾ s e p t͡s
interest(2)|ʔ ɪ n t e ɾ e s t
interfaces(2)|ʔ ɪ n t e ɾ f a s e s
interleave|ʔ ɪ n t e ɾ l e ɐ b e
intermolecular|ʔ ɪ n t e ɾ m o l e x ʊ l a ɾ
intersected(2)|ʔ ɪ n t e ɾ s e k t e d
interstates(2)|ʔ ɪ n t e ɾ s t ɐ t e s
intervening(2)|ʔ ɪ n t e ɾ b e n ɪ ŋ
intimated|ʔ ɪ n t ɪ m a t e d
invacare|ʔ ɪ m b ɐ x a ɾ e
inventiveness|ʔ ɪ m b e n t i b n e s
investcorp|ʔ ɪ m b e s t k o ɾ p
invitron|ʔ ɪ m b ɪ t ɾ o n
iny|ʔ i ɲ
iodide's|ʔ ɪ o d i d e s
ipco|ʔ ɪ p k o
ira's(2)|ʔ ɪ ɾ ɐ s
ireene|ʔ ɪ ɾ e ʔ e n e
irrespective|ʔ ɪ ɾ ɾ e s p e k t i b e
isaacson|ʔ ɪ s ɐ ʔ ɐ k s o n
ishler|ʔ ɪ s h l e ɾ
isolationists(2)|ʔ ɪ s o l ɐ ʃ o n i s t s
isosceles|ʔ ɪ s o s s e l e s
issuers|ʔ ɪ s ʃ u e ɾ s
it's|ʔ ɪ t s
itochu|ʔ ɪ t o t͡ʃ u
itty-bitty|ʔ ɪ t i b ɪ t i
ivane|ʔ ɪ b a n e
jaan(2)|d͡ʒ ɐ ʔ ɐ n
jackowski|d͡ʒ ɐ k o ʊ̯ s k i
